ISBN;EAN;ASIN;Eigenschaft;Class;AX;BX;Autor;Titel;Seiten;Verlag;Bindung;Listenpreis;Datum;Translator;Orginaltitel;Sprache;Orginalsprache;Reihe;Thema;Buchart;Ersterscheinung;Standort;Auflage;Inhalt;Buchnummer;dnb-idns
1847386342;9781847386342.0;1847386342;8458753;;;Carle, Eric;Carle, Eric;Papa, Please Get the Moon for Me;32.0;Simon & Schuster;Klappen (4), Faltseite;7,93 €;2009;;;English;;;Mond, Haus, vater, Tochter, Leiter, Berg, Sterne,;;3;Gr. Karton;;Monica wants to play with the moon but she can't seem to reach it, so she asks her father to get it for her. As Papa tries to solve the problem of fetching the moon, the pages of Eric Carle's modern classic extend both outward and upward. A magical story,;4234.0;[]
9026904355;978.0;;8454177;Übersetzung GB;;"Diaz, James, Roger;Strejan, John";"Kee, Rory(Text); Mawson, Andrew(Ill.)";Assepoester;16.0;Uniboek;Kulissen, Leporello;7,50 €;1983;;;holländisch;;;Aschenputtel, Ballsaal, Prinz, Treppe, Schuh;;4;Gr. Karton;;"Es wird das bekannte Märchen mit Illustration auf dem Leporello nacherzählt. Das ganze ""Buch"" hat die Form eineines Schlosses mit zwei Türmen, in die man von innen hinsehen kann. Die Turmzinnen sind aufklappbar.

Das Buch wurde schon oft in die Hand gen";4233.0;[]
;978.0;;8462369;Raubkopie?;;"Diaz, James, Roger; Tiller, Sandra ?)";N.N.;Little Red Riding Hood;24.0;Crest Industries Corp, Taiwan;Kulissen, Leporello;6,55 €;1982 );;;English;;;Rotkäppchen, Haus, Großmutter, Wolf, Bett;;3;Gr. Karton;;"Es wird das bekannte Märchen mit Illustration auf dem Leporello nacherzählt. Das ganze ""Buch"" hat die Form eines Hauses in dem die Großmutter wohnt und das beim Aufklappen auch die Inenräume mit Bett zeigt. Vermutlich eine Raubkopie, da genauere Bezeichnu";4232.0;[]
;978.0;;8462369;Original;;"Diaz, James, Roger; Tiller, Sandra";Baynton, Martin (Ill.);Little Red Riding Hood;24.0;Methuenwalker Books;Kulissen, Leporello;9,50 € );1982;;;English;;;Rotkäppchen, Haus, Großmutter, Wolf, Bett;;4;Gr. Karton;;"Es wird das bekannte Märchen mit Illustration auf dem Leporello nacherzählt. Das ganze ""Buch"" hat die Form eines Hausesin dem die Großmutter wohntt und das beim Aufklappen auch die Inenräume mit Bett zeigt.

Das Buch wurde schon oft in die Hand genommen";4231.0;[]
;978.0;;8454433;Original;;"Diaz, James, Roger; Tiller, Sandra";Baynton, Martin (Ill.);Hansel and Gretel;24.0;Methuenwalker Books;Kulissen, Leporello;9,41 €;1982;;;English;;;Hänsel, Gretel, Hexenhaus, Hexe, Küche, Ofen, Pfefferkuchen,;;4;Gr. Karton;;"Es wird das bekannte Märchen mit Illustration auf dem Leporello nacherzählt. Das ganze ""Buch"" hat die Form eines knusperhausesaus dem die Hexe herausschaut und das beim Aufklappen auch die Inenräume mit Ofen zeigt.

Das Buch wurde schon oft in die Hand";4230.0;[]
3809405477;978.0;3809405477;41024;Original;;-;"Butterfield, Moira(TexT);Robertson, Brian(Ill.)";Koko, das Krokodil;12.0;Bassermann;Gebundene Ausgabe;3,00 €;1997/8;;;Deutsch;;;Krokodil, Affe, Frosch, Papagei, Löwe, teich,;;3;Gr. Karton;;"Ein krokodil ist auf der Suche nach Nahrung. Drei Tiere treiben mit ihm SchabernackDas Buch hat die Form eines Krokodilkopfes. 

Das Buch ist schon etwas abgegriffen, die Zähne des Krkodils sind leicht geknickt. Kein Eintrag .- 3
";4229.0;[]
0859538443;9780859538442.0;;8462465;Original;;Moerbeek, Kees;Moerbeek, Kees;Countdown to Christmas;18.0;Child's Play;90° (9);5,00 €;2001;;;English;;Roly-Poly;Tannenbaum, ElfenSpielzeug,Kerzen, Sänger, Päckchen,Schneemänner, Häuser, Rentiere,Nikolaus;;1;Gr. Karton;;"Es werden 10 Dekorationen und Unterstützer zum Weihnachtsfest in abfallender Anzahl gezeigt. Dazu gibt es 9 gefaltete Szenebilder , die in sich verschachtelt sind und durch Abklappen nacheinander in Erscheinung treten.

Der Würfel ist sehr gut erhalten.";4228.0;[]
3760779077;9781846430183.0;;8462465;Original;;Moerbeek, Kees;Moerbeek, Kees;Old MacDonald had a Farm;18.0;ars edition;90° (9);3,95 €;2006/2000;;;EnglishDeutsch;;Roly-Poly;Song, Lied, Bauer, Kuh, Pferd,Schwein, Hund,Huhn, Ente,Katze, Mäuse;;1;Gr. Karton;;"Es wird das bekannte Lied illustriert und mit Text beschrieben.. Dazu gibt es 9 gefaltete Szenebilder , die in sich verschachtelt sind und durch Abklappen nacheinander in Erscheinung treten.

Der Würfel ist sehr gut erhalten. - 1";4227.0;['978877934']
1846430186;9781846430183.0;;65633;Original;;Moerbeek, Kees;Moerbeek, Kees;The Three Little Pigs;18.0;Child's Play;180° (9);6,99 €;2006;;;English;;Roly-Poly;Schweine,Wolf, Strohhaus, Holzhaus, Säge, Steinhaus, Schornstein,;;1;Gr. Karton;;"Es wird die Geschichte von den 3 kleinen Schweinchen und dem Wolf gezeigt. und beschrieben.. Dazu gibt es 9 gefaltete Szenebilder , die in sich verschachtelt sind und durch Abklappen nacheinander in Erscheinung treten.

Der Würfel ist sehr gut erhalten.";4226.0;[]
0859538427;9780859538428.0;;257;Original;;Moerbeek, Kees;Moerbeek, Kees;Little Box of Horrors;18.0;Child's Play;180° (9);5,00 €;2001;;;English;;Roly-Poly;Gruselfiguren, Hexe,Monster, Gespenst, Vamir, TotenkopfFledermaus, Spinne, Schlange, Katze, Käfer;;2;Gr. Karton;;"Es werden die Köpfe von Gruselfiguren gezeigt. Dazu gibt es 9 gefaltete Szenebilder , die in sich verschachtelt sind und durch Abklappen nacheinander in Erscheining treten.

Der Würfel ist gut erhalten. Beid er Schlange sind Knicke wegen fehlerhaften Ei";4225.0;[]
1846430194;9781846430190.0;;8455201;Original;;Moerbeek, Kees;Moerbeek, Kees;Cinderella;18.0;Child's Play;90° (9);8,99 €;2006;;;English;;Roly-Poly;Märchen, Aschenputtel, Küche, Fee, Kutsche, Prinz, Schuh, Pferd, Hochzeit;;2;Gr. Karton;;"Es wird das Märchen vom Aschenputtel erzählt. Dazu gibt es 9 gefaltete Szenebilder , die in sich verschachtelt sind und durch Abklappen nacheinander in Erscheining treten.

Diese ""Schachtell"" ist sehr gut erhalten und nur an den äußeren Ecken leicht bes";4223.0;[]
;978.0;;8651840;;;-;"Brezan, Jurij(Text);Pacovska, Kveta (Ill.)";Die Abenteuer des Kater Mikosch;66.0;Kinderbuchverlag,Berlin;Kein Pop-up!;11,89 €;1982/1976;;;Deutsch;;;Kater, Lokomotive, Löwe, Zug, Elefant,Kamel, Zirkus;;3;3 - 4;5.;"In dem Buch wird die Geschichte vom Kater Milosch erzählt, der durch ein Missgeschick seinem Freund Thomas entläuft und nach einer weiten Reise wiederfindet.

Das Buch ist gut erhalten, etwas bestoßen und abgegriffen etwas fleckig. Zwei Seiten sind verk";4222.0;[]
