ISBN;EAN;ASIN;Eigenschaft;Class;AX;BX;Autor;Titel;Seiten;Verlag;Bindung;Listenpreis;Datum;Translator;Orginaltitel;Sprache;Orginalsprache;Reihe;Thema;Buchart;Ersterscheinung;Standort;Auflage;Inhalt;Buchnummer;dnb-idns
0792229770;9780792229773.0;;595074;Orginal;;Lokvig, Tor;"Kristof, Emori(Text); Fiore, Peter(Ill.)";Undersea Tresures;10.0;National Geographic Society;180°(5),Zug(4),Klapp(7);5,99 €;1995;;;English;;;Schiffe, Schiffbruch, Segelschiff,Schatz, Erdbeben, Titanic;;1;8 - 5;;"Das Buch berichtet vonSchiffs- und anderen unglücken auf der ganzen Welt, deren Umfang durch die Arbeit der Unterwasserarchäologen bekannt wurde

Das Buch ist sehr gutr erhalten, nicht bestoßen und wohl kaum benutzt. - 1

Illustrates sites of shipwrec";3451.0;[]
351701334X;9783517013343.0;351701334X;560258;Übersetzung US;;Hawcock, David;"Hawcock, David(Text); Walton, Gary(Ill.)";Versunkene Schiffe und ihre Schätze;22.0;Sdwest, M.;180° V/M(5),Zug(1),Dreh(1),Kla;7,70 €;1993;;;Deutsch;;;Taucher, Krüge,Segelboot, Kogge,Wrack, Titanic;;1;8 - 5;;"Die Geschichte der versunkenen Schiffe von dem etruskischen Handelsschiff Giglio, das vor 2500 jahr sank, bis zur Titanic mit 1500 Toten und die Unternehmungen zur Bergung wird in diesem Buch plastisch und eindrucksvoll geschildert.

Das Buch ist sehr g";3450.0;['940029561']
3768432033;978.0;;9012354;Übersetzung CS;;N.N.;"Hulpach, Vladimir(Text); Kubela,Premysl(Ill.)";Kolumbus entdeckt Amerika;12.0;Werner Dausien, Hanau;90°(6), quer;10,50 €;1992;;;Deutsch;;;Kolumbus, Weberei,Königspaar, Globus, Priester,HafenSegelschiff, Sturm, Meer, Insulaner, Festzug;;1;8 - 4;;"Es wird die Reise Christif Kolumbus nach Amerika (Westindien) zum 500. jahresjubiläum beschrieben.

Das Buch ist sehr gut erhalten, kaum bestoßen und sauber. kein Eintrag. - 1";3449.0;['921331630']
3768432033;9783760777085.0;3768432033;4756610;Übersetzung US;;"Smith, Roger; Meyer, Denis K.";"Strong,Stacie(Text);Welply,Michael(Ill.9";Kolumbus  das Tagebuch der Entdeckung Amerikas mit beweglichen Bildern;14.0;ars edition;180°(5), Dreh(2),Zug(2), Kugel;6,25 €;1992;;;Deutsch;;;Kolumbus, Weltkarte, Segelschiff, Hafen,Vulkan, Schiffsdeck, Cockpit, Boote, Insulaner, Truhe, Flagg;;2;8 - 4;;"Das Buch erzählt die Geschichte der Entdeckung Amerikas durch kolumbus mit großflächigen Bildern und einer historischen Karte sowie eines Halbglobus.

Das Buch istnoch recht gut erhalten, aber unten rechts bestoßen.Innen ist es sauber und hat keine Fehl";3448.0;['921331630']
0709701039;978.0;;8979586;Übersetzung CS;;"Pavlin; Seda";"Pavlin; Seda(Ill.)";Christopher Columbus;12.0;Artia;90°(6), hoch;14,01 E;1983;;;English;;;Kolumbus, Kirche, Altar, Palast, Königspaar, Burg, Segelschiff,Palmen, Eingeborene,Festung, Festwage;;3;8 - 4;;"In diesem Buch wird die Entdeckung Amerikas (Westindien) durch Chistof Kolumbus nacherzählt.

Das Buch ist noch recht gut erhalten. Der Einband ist kaum bestoßen, aber leicht angekratzt und die Lamierung löst sich vom Buchrücken her ab. Innen ist das er";3447.0;[]
1423108086;9781423108085.0;;42566722;Original 2 beachten!;;Kalama, Wayne;"Thomas, Rich(Text);Orpinas, Jean-paul; Coletti, Marco (Ill.)";Pirates of the Caribbean: The Black Pearl - A Pop-Up Pirate Ship;6.0;Disney Press;360°(1), Fig.(12);6,95 € );2007;;;English;;;Segelschiff, Schiff, Piraten, Hafen, Burg;;1;12 - 7;;Das große Piratenschiff (51 cm Durchmesser) ist bei Mndlicht im Hafen eingelaufen. 12 auszupressende Figuren , einschließlich Piratenbraut und eine Bulldogge, können als Kämpfer eingesetzt werden. Kurzer einführungstext. Zwei schwarze Bänder zum Zusamenbi;3446.0;[]
1423108086;9781423108085.0;1423108086;42566722;Orginal;;Kalama, Wayne;"Thomas, Rich(Text);Orpinas, Jean-paul; Coletti, Marco (Ill.)";Pirates of the Caribbean: The Black Pearl - A Pop-Up Pirate Ship;6.0;Disney Press;360°(1), Fig.(12);6,95 €;2007;;;English;;;"Segelschiff, Schiff, Piraten;Hafen, Burg";;1;8 - 5;;Das große Piratenschiff (51 cm Durchmesser) ist bei Mndlicht im Hafen eingelaufen. 12 auszupressende Figuren , einschließlich Piratenbraut und eine Bulldogge, können als Kämpfer eingesetzt werden. Kurzer einführungstext. Zwei schwarze Bänder zum Zusamenbi;3445.0;[]
0811859231;9780811859233.0;0811859231;25208198;Orginal;;Marshall, Ray;"Marshall, Ray(Text); Swain, Wilson(Ill.)";The Castaway Pirates: A Pop-Up Tale of Bad Luck, Sharp Teeth, and Stinky Toes;20.0;Chronicle Books; 180° V/M(8);12,34 €;2008;;;English;;;Boot, Kapitän, Piraten,Wasserstrahl, Hai, Meer,Jacke, Seil,Münzen,Schiffsbrüchige;;1;8 - 5;;5 Piraten, die in einem Rettungsboot vom sinkenden Piratenschiff fliehen wollen, werden von einem Hai angegriffen, der das boot leck werden lässt. Die Piraten kämpfen gegen das eindringende Wasser mit allen an Bord befindlichen geräten (Kapitänsjacke, Sei;3444.0;[]
1405476087;9781405476089.0;1405476087;25691202;Übbersetzung GB;;"Finch, Keith; Fletcher, Corina";"Pirotta, Saviour(Text);Mould, Chris(Ill.)";So lebt ein Pirat;22.0;Parragon;180°(§), )0°(1),Zug(2), Klapp;6,50 € );2006;;;Deutsch;;;Schiff, Pirat, Schiffsdeck, Kajüte, Flagge,Insel,;;2;8 - 5;;Das Umrissbuch - Schiffsbug mit einem ins Meer springnden Piraten, der von einem Hai erwartet wird - kann schon im Deckel aufgeklappt werden. Dann zeigen sich andere Halunken, die den Schatz bewachen.Im Innern gibt es zahlreiche Klappen, die ebenfalls ehe;3443.0;[]
3845500379;9783845500379.0;3845500379;34079810;Übbersetzung GB;;Hawcock, David;"Goldsack, Gaby(Text); Martin, Kim (Ill.)";Piratenschiff;2.0;Xenos;180°M(1), Fig.;6,91 €;2011;;;Deutsch;;;Schiff, Segelschiff,;;1;8 - 5;;Komm mit in die spannende Welt der Piraten! Öffne das Buch und entdecke ein tolles 3-D-Piratenschiff! Lies die beiden farbig illustrierten Büchlein über die Abenteuer von Kapitän Cord und Kapitän Flint! Spiel mit den beigefügten Spielfiguren ihre Abenteue;3442.0;['1017422311']
394028808X;9783940288080.0;394028808X;8947010;Übbersetzung GB;;N.N.;"Brown,Leo; Bernatene, Poly(Ill.)";Das große Buch der Piraten;10.0;Noris Books;180°V(1), Lamel (2)Zug(4), Kla;9,95 €;2007;;;Deutsch;;;Segelschiff, Schiffsbug, Flagge, Säbel, Schatztruhe, Schatrzkarte,Galgen, Käfig;;3;8 - 5;;"In dem großen Buch (31 x 38,5 cm)wird das Leben der Piraten an Bord des Schiffes, ihre Kämpfe  und Beute sowie die grausamen bestrafungen vorgestellt. Auch werden 5 berühmte Piraten benannt.

Das Buch ist bis auf einen Fehler sehr gut erhalten. Es ist s";3441.0;[]
0001360051;9780001360051.0;0001360051;33588354;Orginal;;Apte, Ariel;"Hawkins, Colin(Text); Dessing, Jim (Design)";Pirate Ship;24.0;Collins;180°M(1), 90°(1), Fig.(7);10,00 €;1994;;;English;;;Schiff, Segelschiff, Piraten, Insel, Schatztruhe, Palmen;;3;8 - 5;;"Dieses riesige Buch (41 x 27 cm; aufgeklappt 54 x 41 x 26 cm) enthält zentral ein Piratenschaiff, eine aufziehabare Insel mit Schatzversteck und Gerippe sowie ein Textheft, ein Ruderboot und eine Schatzkarte und Spielfiguren.

Das Buch ist leicht bestoß";3440.0;[]
;978.0;;0;Nachdruck;;N.N.;N.N.;Robinson Crusoe;22.0;Merimac;Viertelseiten-Klappen (5 x 4);16,07 €;1980 );;;English;;;Crusoe, Hafen, Meer, Schiffbruch, Strandgut, HUnd, Eingeborene, Freitag, Boot;;;8 - 4;;"Es wird die Geschichte von Robin Crusoe erzählt, der nach einem Schiffbruch auf einer einsamen Insel wohnt und den Einheimischen Fritag kenenlernt.

Das Buch wirkt etwas abgenutzt. Der Einband ist leicht fingerfettig bzw. fleckig , verknickt und minimal";3439.0;[]
;978.0;;8488003;Orginal;;"Lohnes, Howard; Baker, bruce(design)";"Swift, Jonathan; Cunningham,Edward(Text); Hague, Michael R.(Ill.)";Gulliver in Lilliput;16.0;Hallmark;180° (8);10,00 €;1970 );;;English;;;Gullver, Lilliputaner,Karren, Fässer, Baum, Stadt, Pistole, Theater, Meer, Schiffe,Chor, Segelboot;;1;8 - 4;;"Es wird Gullivers Reise ins Land der Zwerge  beschrieben. Obwohl er in normaler Umgebung kein kräftiger mann war, freut ihn hier die Anerkennung, die er als Mächtigster erhält.

Das Buch ist sehr gut erhalte.Lediglich am unteren Ende des Rückens ist ein";3438.0;[]
9036607159;978.0;;8463427;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Gulliver in het land van de dwergen;12.0;Rebo;90°(6);5,00 €;1992;;;holländisch);;;Gulliver, Meer, Boot, Wagen, Riese, Shuhe, Burg, Taschenuhr, Lilluputaner,Feuer, Boot, Kaiser, Lilli;;1;8 - 4;;"Es wird Gullivers Reise ins Land der Zwerge aus seiner Sicht beschrieben, sein Schiffbruch, der Abtransport und wie er das Feuer im Palast löschte. Softcover.

Das Buch ist sehr gut erhalten, kaum bestoßen, schmutzig oder verknickt. Kein eintrag. - 1";3437.0;[]
709701004;978.0;;8463427;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Gulliver Reisen;12.0;Artia;90°(6);10,10 €;1979;;;Deutsch;;;Gulliver, Meer, Boot, Wagen, Riese, Shuhe, Burg, Taschenuhr, Lilluputaner,Feuer, Boot, Kaiser, Lilli;;1;8 - 4;;"Es wird Gullivers Reise ins Land der Zwerge aus seiner Sicht beschrieben, sein Schiffbruch, der Abtransport und wie er das Feuer im Palast löschte. Softcover.

Das Buch ist sehr gut erhalten, kaum bestoßen, schmutzig oder verknickt. Kein eintrag. - 1";3436.0;[]
709701004;978.0;;8455235;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Robin Hood;12.0;Artia;90°(6);12,00 €;1978;;;Deutsch;;;Burg, Kirche, Priester,Wald, Haus, Bogenschießen, Segelboot;;2;8 - 4;;"Es werden die Abenteuer von Robin hood erzählt, derder sowohl die Normannen als auch den reichtum der Bischöfe bekämpfte. Softcover.

Das Buch ist recht gut erhalten. Es ist sauber und kaum bestoßen(obere Ende des Rückens). Die zweite Szenen hat leichte";3435.0;[]
709701004;978.0;;25273411;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Baron von Münchhausen;12.0;Pawlak;90°(6);2,25 €;1977;;;Deutsch;;;Münchhausen, Wald, Hirsch,Baum,Pferd, Tränke, Burg, Kanonenkugel, Wal, Tiefsee, Seepferdchen, Segels;;2;8 - 4;;"Es werden einige der Lügengeschichten Münchhausens erzählt wie der Hirsch mit dem Kirschbaum in seinem Geweih oder das halbe Pferd, das vorne Wasser trank und es hinter sich wieder abfließen ließ.

Das Buch ist gut erhalten, nicht bestoßen und nicht ver";3434.0;[]
709701004;978.0;;8496195;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Wiliam Tell;12.0;Brown Watson;90°(6);9,75 €;1984;;;English;;;Wald, See, Brücke,Burg, Sohn, Apfel, Segelboot,Reiter, Felsen,Haus,Berge;;1;8 - 4;;"Es wird die schweizer Legende von Wihelm tell erzählt, der sich weigerte den Hut des Governeurs zu grüßen, Später sollte er einen Apfel vom Kopf seines Sohnes schießen und hatte schon den zweiten Pfeil für den Governeur bereit.

Das Buch ist sehr gut er";3433.0;[]
;978.0;;74819;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Robinson Crusoe;12.0;Gondrom;90°(6);8,00 €;1985;;;Deutsch;;;Robinson Crusoe, Hafen, Häuser,Schiff, Meer, Gewitter, Ballustrade,insulaner, Kanu, Hund  Urwald;;2;8 - 4;;"Es wird die Geschichte von Robinson Crusoe erzählt, der jahrelang einsam auf einer Insel lebte.

Das Buch ist sehr gut erhalten, nicht bestoßen, etwas fleckig. innen ist  es sauber und ohne Eintrag. - 2";3432.0;[]
;978.0;;74819;Übersetzung CS;;"Pavlin, J.; Sèda,G. (Ill.)?";"Pavlin, J.; Sèda,G. (Ill.)";Crin Noir;12.0;Age D'Or;90°(6);10,00 €;1974;;;française;;;Pferde, Fohlen, Weide, Jagdhunde, Hase, Stall, Feuer,Gatter, Kutsche,Haus;;2;8 - 4;;Das Buch erzählt die geschichte von einem schwarzen Fohlen von der Geburt an üer über seine Erlebnisse, wie es z.B. aus einem brennenden Stall gerettet und später als Kutschpferd eingesetzt wurde bis hin zu seinem Einsatz als Streichelpferd im Altersheim.;3431.0;[]
;978.0;;70722;;;"Pavlin, J.; Seda, G.(Ill.)?";"Stevenson, R.L.; Pawlak(Ill.)";Die Schatzinsel;12.0;Artia );90°(6) hoch;3,70 €;1970 );;;Deutsch;;;Gasthaus, Trinker, Kai,Haus, Segelschiff,Schiffsdeck, Seeräuber, Blockhaus, Schatzgräber, Höhle;;1;8 - 4;;"Eine echte Räubergeschichte: Schatzsucher und Piratn geraten nach einer Schiffahrt auf der Schatzinsel aneinander. Sie finden statt des  Schatzes ein leeres Loch.Wo ist der Schatz hin?

Das Buch istsehr gut erhalten , nicht bestoßen und nicht schmuutzig";3430.0;[]
;978.0;;8724615;Orginal;;"Pavlin, J.; Seda, G.(Ill.)?";"Pavlin, J.; Seda, G.(Ill.)";Rondes Enfantines No. 1;12.0;Sonopresse, Artia;180° M (6), Schallplatte;13,28 €;1971;;;française;;;Haus, Tänzerin, Brücke, Katze, Gärtner, Hund, Windmühle;;2;8 - 4;;"Neben der einliegenden schallplatte sind die französischen Volksliedtexte von
En Passant par la Lorraine
Sur le Pont D'Avignon
C#est la Mere Michel
Savez-vous Planter les Choux
Cadet Rousselle
Meunier tu dors
mit je einem Pop-up in der Mitte der Se";3429.0;[]
394838416;978.0;;16851267;Orginal;;Penick, Ib;"Henson, Jim (Muppets); Cooke, Tom (Ill.)";Grover's Super Surprise Book;12.0;Random House;180°(3), Zug (10);6,37 €;1978;;;English;;Nr. 12;Sesamstraße, Häuser, Fahrstuhl, motorrad, Vogelscheuche, Zauberer, Krümelmonster, Doppeldecker, Cowb;;3;8 - 4;;"Das Buch zeigt ""Künstler"" bei verschiedenen Aktion, die aber meist unglücklich ausgehen.

Das Buch ist schon viel gelesen worden, was man an den abgenutzten Laschen einschließlich kleiner Überziehungen (Zauberer) und kleinen Einrissen erkennen kann. Abe";3428.0;[]
394835468;978.0;;16875843;Orginal;;N.N.;N.N.;The Sesame Street Riddle Book;16.0;Random House;180°(3),Zug(10),Klapp(3);14,79 €;1977;;;English;;Nr. 11;Sesamstraße, Ernie, Bert, Krümelmonster, Vogel, Monster, Stuhl, Kinderewagen, Zoo, Giraffe, Büro;;1;8 - 4;;"Dieses Buch mit den Motiven aus der Sesamstraße beinhaltet Scherzfragen, deren Antwort meist erst unter den Klappen zu finden ist.

das Buch ist sehr gut erhalten. es ist nicht bestoßen oder eingeschmutzt und auch die Laschen wurden wohl wenig angefasst";3427.0;[]
394828267;978.0;;8465410;Orginal;;Pernick, Ib;Lustig, Loretta (Ill.);The Pop-up Book of Trucks;20.0;Random House;180°(3), Zug(9),Dreh(3),Kl(12);9,60 €;1974;;;English;;Nr. 29;Lastwagen, Reinigungswagen, Betonmischer, Traktor, Tiertransport, Transporter, Feuerwehr, Abschleppw;;3;8 - 4;;"In dem Buch werden über 20 Transport-, Gebrauchs- und Dienstfahrzeuge abgebildet und oft in Bewegung gesetzt. 

Das Buch ist noch recht gut erhalten, abe schon viel angesehen und benutzt worden. Das sieht man an den etwas angeschmutzten Laschen und Bild";3426.0;[]
;978.0;;8456323;Orginal;;Swartz, Walter (Design9;"Clark,Bettina(Text);Swartz, Walter (Ill.)";Going to the Hospital;20.0;Random House;180°(3),Zug(3), Klapp(7), Dreh;13,50 €;1970 );;;English;;Nr. 23;Arzt, Junge, Mandel, Koffer, Bett, Familie, Mundschutz, Operationssaal, Krankenschwester, Flugzeug;;2;8 - 4;;"das buch ist eine gute Vorbereitung für Kinder, die operiert werden müssen. Es erläutert die neue umgebung, die das Kind im Krankenhaaus erwartet.

Das Buch ist recht gut erhalten. Es ist leicht angeschmutzt und angestoßen.Im innendeckel ist ein Namense";3425.0;[]
;978.0;;25493667;Orginal;;"Lokvig, Tor; Taylor. Paul (Design)";Miller, Albert G. (Text);The Tournament of Magic;22.0;Random House;135° M (1), Zug(6), Klapp(1);11,57 €;1970 );;;English;;Nr. 10;Zauberer, Magier, König, Prinzessin, Inder, Merlin, Elefant, Zylinder;;2;8 - 4;;"König Awkward verspricht dem besten Magier seine schöne Tochter. Die Zauberer aus aller Welt treten zum Wettkampf an, aber zur Braut bekommt sie ein einfacher Knappe mit Fantasie.

Das Buch ist sehr gut erhalten, kaum bestoßen oder schmutzig. Die zauber";3424.0;[]
;978.0;;25239681;Orginal;;N.N.;N.N.;Mother Goose;24.0;Random House;135°V(4),ZUg(7), Klapp(6);8,50€ );1970 );;;English;;;Humpty-Dumpty, Mauer, Brunnen,Kuh, Küchenschrank,;;3;8 - 4;;"Das Buch illustriert alte englische Kinderreime, wobei der Schlußreim fast immer unter der mechanisch zu öffnenden Klappe versteckt ist.

Das Buch ist eigentlich recht gut erhalten. Doch mit Aufklebern auf der Titelseite und dem Buchrücken, einer heraus";3423.0;[]
;978.0;;8401027;Orginal;;N.N.;N.N.;Hide and Seek A Child's first Counting Book;22.0;Random House;135°V(5),Zug(4), Klapp(3);5,30 €;1967;;;English;;Nr.4;Zoo, Zahlen, Käfig, bus, Tiger, Karussell, Pferde, Höhle, Wärter, Boot, Koala, Eskimo, Eisbär, Seehu;;4;8 - 4;;"Jeannie und Paul helfen dem Zooeärter die entflohenen Tiere wiederzufinden und einzufangen.

Das Buch hat schon etwas gelitten.Der Einband ist bis auf ein paar leichte Flecken  noch recht gut erhalten.Auch im innern scheint bis auf ein paar Randverschmu";3422.0;[]
394811259;978.0;;8413251;Orginal;;Shirakawa,Akihito(Design);"Miller, Albert G. (Text); Shirakawa,Akihito(Ill.)";Who Popped Out?;22.0;Random House;180° V (1),Zug(3), Klapp(1);5,30 €;1970 ];;;English;;Nr.2;Zoo, Käfig, Eier, henne,Schildkröte, Schlange, Affe, Dinosaurier;;2;8 - 4;;Der Wärter Harry ist neu im Zoo. Zum säubern der Käfige legt er alle Eier in einen korb.Als er die Eier wieder verteilt bleibt ein Riesenei über. Später nach dem Ausbrüten merkt er, dass er die Eier vertauscht hat. Doch die größte Überraschung bietet das;3421.0;[]
394811259;978.0;;25436295;Orginal;;N.N.;Cerft, Benett;Pop-up Limmericks;20.0;Random House;135°(1), Zug(10), Klapp((3);4,55 €;1970 ];;;English;;Nr. 5;Reime, Tiger, Sessel,Wanne, Elefant,Hund, Kuchen, Klavier,Ofenrohr,;;2;8 - 4;;"Die 13 Limerick-Verse (5-Zeiler; a,aa,b,b,a)werden vonüberwiegend Flachmechaniken und Bildern begleitet. Die letzte Zeile (Gag) erscheint oft erst nachdem gezogen oder gefaltet wurde. Die Reime stammen vom Mitbegründer und späteren Direktor des Random-Hou";3420.0;[]
394811259;978.0;;25175047;Orginal;;N.N.;Cerft, Benett;Pop-up Riddles;18.0;Random House;135°(2), Zug((7), Klapp((7);14,64 €;1970 ];;;English;;Nr.1;Rätsel, Taucher,Kängeruh,Angler, Fisch, Maus;;2;8 - 4;;"In dem Buch werden 14 Rätselfragen zu Bildern gestellt, dren Antworten zu sehen sind, wenn man den Ziehstrifen zieht oder die Klappe habt.Erklärung zum Autor im Innendeckel (Mitgründer und Vorsitzender des Verlagshauses)

Das Buch ist recht gut erhalten";3419.0;[]
;978.0;;8465539;Orginal;;Dudley, Dick;Lyons, Rick (Design);The Super Space Ride;16.0;Hallmark;180° V (3), 135°(2), Zug(4), D;15,00 €;1970 );;;English;;;Raumschiff, Garten,Kontrollraum,Roboter, LokSaubermacher, Vergnügungspark, Verpflegungsautmat, Zoo,;;3;8 - 4;;"Ein defektes Raumschiff landet im Garten von zwei Kindern,die bwi der Reparatur helfen. Dafür bekommen sie einen Ausflug in die Galaxis und bewundern sehr den irdischen Bedürfnissen nachempfundene Space-Angebote.

Das Buch ist noch recht gut erhalten.Es";3418.0;[]
;978.0;;25231395;Übersetzung US;;Strejan, John J.(Ill.);"Andersen,Hans Christian; Schneider, Marlene(Text); Strejan, John(Ill.)";Des Kaisers neue Kleider;18.0;Hallmark;180°(2), Zug (8);15,00 €;1970;;;Deutsch;;;König, Spiegel, Kleider, Schuhe, Weber, Hofstaat, Baldachin,;;4;8 - 4;1;"Es ist die Geschichte vom König, der immer ausgefallene Kleider haben wollte und dem niemand die ehrliche meinung sagen wollte bis ein kleiner Junge mit der Wahrheit herauskam.

Das Buch wurde schon häufig in die hand genommen. Es ist fleckig, nur leich";3417.0;[]
;978.0;;8511619;Übersetzung US;;N.N.;"Gordon, Gven; Cham,bers, Dave(Ill.)";Das Pop-up Buch der Rekorde;20.0;Hallmark;"180°(5); Zug(3), Klapp, Dreh";3,62 €;1970;;;Deutsch;;;Giraffe, Strauß,Hochhäuser, Empire stateElefantBison, Zug,Spinne, Schmetterling, Dinosaurier, Wal;;2;8 - 4;1.;"In m Buch werden mit begleitenden Reimen die damaligen  Rekordhalter bei Tieren, Pflanzen  Menschen und Gebäuden vorgestellt. Am Schluss gibt es einen Test.

Das Buch sieht äußerlich noch recht gut aus und ist nur gering bestoßen.Innen ist es angeschmut";3416.0;[]
;978.0;;8273;Orginal;;Lokvig, Tor;"Miller, Albert G.(Text); Taylor, Paul (Design)";The Color Book;20.0;Random House;180°(2), zug(6), Klapp, Deh;14,79 €;1970 );;;English;;;Farben, Pfau, Hase, Spiegel, Sprayer, Adler, Fisch,;;6;8 - 4;;Ein graues Häslein bewundert den bunten Pfau und wünscht sich auch ein neues Kleid.Beim Maler bekommt es verschiedene angepasst und verlässt ihn mit einem kunterbunten Fell. In der Natur merkt es aber, dass seine Feinde es schnell erkennen und ist ständig;3415.0;[]
;978.0;;143238274;Orginal;;"Baker, Bruce; Lohnes, Howard";"Price, Barbara Wells(Text); Kaufman, George(Ill.)";American Folktales;16.0;Hallmark;180°(5),Zug(3),;15,92 €;1970 );;;English;;;Eisenbahn, Tunnel, Riese, Pferd, Cowboy, Frau, Ochse, Bär, Lok,Apfelbaum, Familie, Bergmann;;3;4 - 1;;"Es werden die Geschichten der amerikanischen Volkserzählungen nacherzählt: 
Supercowboy Pecos Bill, der seine Frau mit dem lasso an sich band
Riese Paul Buyan, der bei einem Sturz ganze wälder mitriss
Der Geschichtenerzähler Davy Crockett
Lokführer Ca";3414.0;[]
394805836;978.0;;276900995;Orginal;;N.N.;Brunhoff, Laurent de;Barbar's Games;16.0;Random House;180°(2),Zug((11);11,20 €;1968;;;English;;;König Barbar, Flugzeug, Affe, Gewichtheber, Tauziehen,Wippe, Hebeakt, Pyramide, Wettlauf, Seilbahn;;3;8 - 4;;Die Großfamilie Barbar Tritt mit 6 Personen und dem befreundeten Affen Zéphir bei den olympischen Spielen an. Beim Gewichtheben  und  dem Tauziehen sind sie den anderen Überlegen, während der Affe Punkte bei Geschicklichkeitswettkämpfen holt. Die Königin;3413.0;[]
394805836;978.0;;276900995;Orginal;;N.N.;Brunhoff, Laurent de;Barbar's Moontrip;16.0;Random House;180°(3),Zug((3), Dreh, Klapp;13,12 €;1968;;;English;;;Rakete, Startrampe, König Barbar, Wippe, Weltall, Raumschiff, Spacekapsel,;;3;8 - 4;;"Diese Geschichte von einer Reise des Königpaares Barbar zum Mond und zurück ist sicher vom Zeitgeist (1968) inspiriert worden, wobei schon erstaunliche technische Raffinessen den Kindern vermittelt werden(Innenleben von Raumschiffen).

Das Buch ist äuße";3412.0;[]
;978.0;;16818307;Orginal;;Dudley, Dick;"Walley, Dean(Text); Kaufman, George(Ill.)";The Limerick Zoo;20.0;Hallmark;180°(3), Zug (9);15,00 €;1970 );;;English;;;Zootiere, Flußpferd, Yak,Strauß,Affe,Oktopus, Schuhe, Giraffe, Faultier, Nashorn, Vogel, Wärter, Ali;;2;8 - 4;;In  dem buch werden in Limerick -Versen das Agieren von zahlreichen Zootieren beschrieben und mit Pop-ups in schreienden Farben veranschaulicht. Die 5. Zeile der Verse und oft auch der Gag erscheint meistens erst, wenn man die Lasche gezogen hat. Schutzum;3411.0;[]
0689854536;9780689854538.0;;50667527;Orginal;;Foster, Bruce;Schulz, Charles M.(Ill.);Peanuts A Pop-up Celebration;16.0;Little Simon;180°(5+7),Zug(4),Klapp(6),Bewe;13,66 €;2004;;;English;;;Peanuts,Snoopy,Lucy, Hundehütte, Football, Psychiatrie,Schule, Klavier, Büste, Schröder,;;1;8 - 4;;"In dem Buch werden verschiedene großformatige Szenen aus der Peanuts-Serie als Pop-ups zum Teil durch Klappen erweiterbar, dargestellt.

Das Buch ist sehr gut erhalten. Neukauf. - 1

Six classic scenarios of the Peanuts world are presented in this col";3410.0;[]
;978.0;;327163911;Übersetzung US;;N.N.;Schulz, Charles M. (Ill.);Snoopys heimliches Leben;16.0;Hallmark;"180°(2);Zug(5); Dreh(1), Klapp";5,00 €;1972;;;Deutsch;;;Peanuts,Snoopy, Surfbrett, Hndehütte, Tennis, Football, Astronaut, Tänzer, Bude,;;2;8 - 4;;"Snoopy sehnt sich nach Anerkennung, egal welchen Job er macht. Er träumt von vielen Gelegenheiten.

Das Buch ist noch sehr gut erhalten. Äußerlich hat das Alter doch ein paar Spuren wie leicht bestoßen, etwas fleckig zurückgelassen. - 2";3409.0;[]
;978.0;;276832263;Übersetzung US;;N.N.;Schulz, Charles M. (Ill.);Wohl dem, der einen Freund hat;16.0;Hallmark;"180°(3);Zug(4);dreh(1), Klapp";7,51 €;1972;;;Deutsch;;;Peanuts,Snoopy, Freund,Tuch,Dosentelefon, Fernsehen,Hundehütte, Kürbis;;1;8 - 4;;"In dem Buch werden voiele Aspekte in Wort und Bewegung dargestellt, warum es shön ist, einen Freund zu haben.Leinenstruktur-Einband.

das Buch ist äußerlich wie innen sehr gut erhalten, kaum bestoßen und sauber. - 1";3408.0;[]
3257011431;9783257011432.0;;58789894;Orginal - 2;;Lo Monaco, Gerard;"Goscinny, René (Text); Sempé (Ill.)";Der kleine Nick;16.0;Diogenes;90°(6) quer;12,50 €;2009;;;Deutsch;;;Nick, Boule,Küche, Klempner, Baseball, Schule, Klasse, Park, Teich, Spiegel, Wohnzimmer;;1;12 - 2;;"Der kleine Nick erstmals als Pop-up-Buch! Endlich kann man in die Welt des kleinen Nick richtig eintauchen. Ob in der Schulklasse, im Pausenhof oder zu Hause - sechs Szenen, in denen der kleine Nick für Aufregung sorgt.Kasette

Das Buch ist ein Neukauf.";3083.0;['991724275']
